TLS_mature,TLS,TGFB_CAFs,CAF,ecm_myCAF,detox_iCAF,IL_iCAF,TGFβ_myCAF,wound_myCAF,IFNγ_iCAF
CR2,TSG,MMP11,ENAH,ASPN,ADH1B,ITM2A,CST1,SFRP4,CCL19
FCER2,CXCR5,COL11A1,ITGB1,COL3A1,C7,CXCL12,LAMP5,CCDC80,VCAM1
CXCL13,CCR7,C1QTNF3,ACTA2,THY1,CXCL12,FIGF,LOXL1,OGN,RBP5
BCL6,CD79B,COL12A1,FAP,SFRP2,TNXB,FXYD1,EDNRA,DCN,CYP1B1
MS4A1,CCL18,COL10A1,IL6,COL10A1,RSPO3,PLPP3,TGFB1,PTGER3,C7
AICDA,CCL21,COL5A2,TGFB1,COL6A3,DCN,TNFRSF10D,TGFB3,SFRP2,TNFRSF4
,CXCR4,THBS2,CXCL12,LRRC17,C16orf89,CTB-92J24.3,TNN,PDGFRL,CXCL13
,CCL5,CTHRC1,CCL2,CILP,GDF10,LAMC3,CST2,SMOC2,CXCL9
,CXCL9,AEBP1,YAP1,GRP,PAMR1,C7,HES4,MMP23B,CCL2
,CXCL10,RRC15,,ITGBL1,FXYD1,ZBTB16,COL10A1,CPXM2,IL34
,CCL19,ENAH,,COL8A1,ZBTB16,CAPN6,ELN,COL14A1,ABI3BP
,CXCL13,RAB8A,,COL14A1,SLIT3,SCARA5,THBS4,ITGBL1,CYP7B1
,SELL,SEC22B,,ADAM12,HSPB6,DLK1,NKD2,WISP2,F10
,CD86,ATG7,,OLFML2B,IL6,MEG3,OLFM2,CILP2,COLEC12
,LTB,,,ELN,FBLN5,TAC1,COL6A3,COL8A1,CXCL10
,CD40,,,PLPP4,OGN,THUMPD3-AS1,LRRC17,GAS1,EMILIN1
,LAMP3,,,CREB3L1,PLA2G2A,GMFG,COL3A1,COL3A1,GGT5
,BCL6,,,FBN1,CHRDL1,CYGB,THY1,OMD,EGFLAM
,CCL2,,,LOXL1,CYGB,CCL8,HTRA3,COL11A1,PLXDC1
,,,,MATN3,FGF7,VCAM1,TMEM204,CILP,CXCL11
,,,,LRRC15,PI16,FMO2,SEPT11,NEXN,CCL8
,,,,COMP,PLAC9,FBLN5,COMP,ASPN,CXCL3
,,,,ISLR,WISP2,COLEC12,TNFAIP6,RARRES2,
,,,,P3H1,PTX3,PDGFD,ID4,FIBIN,
,,,,COL11A1,CCL2,GADD45G,GGT5,TMEM119,
,,,,SEPT11,CXCL3,SNAI1,INAFM1,KERA,
,,,,NBL1,,LSP1,CILP,ID4,
,,,,SPON1,,CCL2,OLFML2B,GRP,
,,,,SULF1,,IL6,,COMP,
,,,,FNDC1,,PTGS2,,DPT,
,,,,CNN1,,NR2F1,,ELN,
,,,,MIAT,,F10,,FBLN2,
,,,,MMP23B,,CEBPA,,IGF1,
,,,,CPXM1,,KDM6B,,IGF2,
,,,,FIBIN,,PID1,,,
,,,,P4HA3,,,,,
,,,,GXYLT2,,,,,
,,,,CILP2,,,,,
,,,,P3H4,,,,,
,,,,CCDC80,,,,,
